date,fgindex
2016-10-07,42.83246027
2016-10-10,40.13759513
2016-10-11,35.69975038
2016-10-12,38.04971781
2016-10-13,33.41651142
2016-10-14,37.75788128
2016-10-17,39.76241502
2016-10-18,42.73839726
2016-10-19,49.94587519
2016-10-20,46.82008889
2016-10-21,35.5389589
2016-10-24,44.99349772
2016-10-25,52.17122922
2016-10-26,38.52968037
2016-10-27,36.40723288
2016-10-28,33.25571994
2016-10-31,43.44989954
2016-11-01,40.3305449
2016-11-02,30.42578995
2016-11-03,19.85576027
2016-11-04,25.67095629
2016-11-07,23.42171324
2016-11-08,28.27118417
2016-11-09,13.4848
2016-11-10,22.16753973
2016-11-11,18.94527854
2016-11-14,34.1883105
2016-11-15,24.99103805
2016-11-16,31.70140233
2016-11-17,35.39424658
2016-11-18,27.91744292
2016-11-21,40.43505936
2016-11-22,37.50061492
2016-11-23,43.75310633
2016-11-28,46.26696621
2016-11-29,48.73672329
2016-11-30,51.48143379
2016-12-01,53.98495708
2016-12-02,56.99926129
2016-12-05,60.04817395
2016-12-06,62.50690533
2016-12-07,66.27310111
2016-12-08,69.0708728
2016-12-09,70.9627829
2016-12-12,72.03277709
2016-12-13,77.40905936
2016-12-14,75.36930463
2016-12-15,79.35785205
2016-12-16,83.33537378
2016-12-19,85.78951111
2016-12-20,85.51294977
2016-12-21,82.69105936
2016-12-22,79.63870117
2016-12-23,76.92668493
2016-12-27,74.97789224
2016-12-28,72.50491933
2016-12-29,69.05082607
2016-12-30,59.52904718
2017-01-03,61.78012785
2017-01-04,65.07836301
2017-01-05,68.16231261
2017-01-06,62.19818569
2017-01-09,65.14296673
2017-01-10,59.9624185
2017-01-11,57.06089802
2017-01-12,55.27772055
2017-01-13,53.24210046
2017-01-17,50.39609132
2017-01-18,56.68839777
2017-01-19,58.2243392
2017-01-20,54.87528245
2017-01-23,51.82177575
2017-01-24,56.57048402
2017-01-25,58.15793441
2017-01-26,61.92484018
2017-01-27,64.81372704
2017-01-30,60.20437139
2017-01-31,68.2761035
2017-02-01,71.04171689
2017-02-02,73.58222222
2017-02-03,76.51666667
2017-02-06,79.59582344
2017-02-07,82.49996488
2017-02-08,79.57974429
2017-02-09,72.18333638
2017-02-10,77.20733914
2017-02-13,74.70776256
2017-02-14,65.48476347
2017-02-15,70.39855099
2017-02-16,68.05099543
2017-02-17,79.86916895
2017-02-21,75.0936621
2017-02-22,63.84227854
2017-02-23,72.81042314
2017-02-24,70.02873059
2017-02-27,67.90628311
2017-02-28,65.19809524
2017-03-01,63.00214307
2017-03-02,60.71890411
2017-03-03,55.4899653
2017-03-06,53.12495238
2017-03-07,58.26568558
2017-03-08,51.02317808
2017-03-09,48.67562253
2017-03-10,45.59991129
2017-03-13,43.36720678
2017-03-14,41.90630137
2017-03-15,39.59626383
2017-03-16,36.0936895
2017-03-17,32.98237443
2017-03-20,30.3515785
2017-03-21,32.93413699
2017-03-22,30.1363653
2017-03-23,36.18212481
2017-03-24,40.21360565
2017-03-27,44.05843344
2017-03-28,45.53375708
2017-03-29,40.25745787
2017-03-30,42.87105023
2017-03-31,37.05499282
2017-04-03,33.44545388
2017-04-04,29.93135616
2017-04-05,25.46269305
2017-04-06,27.97006559
2017-04-07,29.4610411
2017-04-10,35.04050533
2017-04-11,37.74409915
2017-04-12,40.01539361
2017-04-13,42.34043836
2017-04-17,45.6012895
2017-04-18,48.70778082
2017-04-19,46.5049376
2017-04-20,49.46350076
2017-04-21,52.98161826
2017-04-24,60.09503318
2017-04-25,56.27228892
2017-04-26,51.36084018
2017-04-27,63.90257534
2017-04-28,62.47689092
2017-05-01,59.51296804
2017-05-02,43.84544658
2017-05-03,46.37630441
2017-05-04,56.90814612
2017-05-05,48.9558591
2017-05-08,54.87252603
2017-05-09,52.75007854
2017-05-10,50.52472451
2017-05-11,49.2062344
2017-05-12,51.12654403
2017-05-15,53.30105733
2017-05-16,55.55311249
2017-05-17,50.97494064
2017-05-18,55.66712827
2017-05-19,53.77271233
2017-05-22,53.21315799
2017-05-23,50.54451423
2017-05-24,55.41278539
2017-05-25,46.34414612
2017-05-26,41.87873712
2017-05-30,52.90443836
2017-05-31,49.15397717
2017-06-01,51.0907105
2017-06-02,57.44947742
2017-06-05,47.97778752
2017-06-06,59.65768037
2017-06-07,53.72886011
2017-06-08,50.44871399
2017-06-09,44.09628128
2017-06-12,52.24840913
2017-06-13,54.77880757
2017-06-14,47.05162861
2017-06-15,41.31366993
2017-06-16,49.81724201
2017-06-19,52.71148858
2017-06-20,44.31817352
2017-06-21,57.29404566
2017-06-22,47.06770776
2017-06-23,54.51235312
2017-06-26,59.90780044
2017-06-27,62.63553851
2017-06-28,65.60696499
2017-06-29,67.95452055
2017-06-30,69.20869406
2017-07-05,71.94971582
2017-07-06,74.70776256
2017-07-07,79.16068151
2017-07-10,76.83021005
2017-07-11,72.0225449
2017-07-12,69.56702935
2017-07-13,74.70776256
2017-07-14,65.2371446
2017-07-17,67.85804566
2017-07-18,63.05359635
2017-07-19,60.45091832
2017-07-20,55.68842792
2017-07-21,53.48328767
2017-07-24,44.59151903
2017-07-25,51.16789041
2017-07-26,49.04544292
2017-07-27,46.92299543
2017-07-28,59.46473059
2017-07-31,39.6552207
2017-08-01,42.58162557
2017-08-02,35.64615322
2017-08-03,26.93339909
2017-08-04,33.37363369
2017-08-07,31.2511862
2017-08-08,29.12873871
2017-08-09,24.83024658
2017-08-10,34.1883105
2017-08-11,31.67996347
2017-08-14,29.55751598
2017-08-15,20.03866058
2017-08-16,22.1868347
2017-08-17,16.82283105
2017-08-18,26.75974429
2017-08-21,15.21491629
2017-08-22,24.38003044
2017-08-23,22.35405784
2017-08-24,19.81355251
2017-08-25,27.65696073
2017-08-28,30.84786758
2017-08-29,33.65769863
2017-08-30,47.69479452
2017-08-31,40.79684018
